ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
51394013,DE,IP-PQ12ZZZ_A2_0503-WVW-1,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E13*2007/46*1167*31,AA,ABEBMA,FA1FA1CZ0020GAVR0N1EVW1B14O,"VOLKSWAGEN, VW",UP!,M1,M1,1,1235.0,1310.0,0.0,0.0,2417.0,1408.0,1412.0,ELECTRIC,E,,61.0,127.0,,,,,,P,2021,2021-04-20,,
51487816,DE,IP-MQB37WZ_A2_0241-WVW-1,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E1*2007/46*2014*11,CD,ACDLAAX0,FM6FM6AJ019N4BISON1VL1BVR2AGB,"VOLKSWAGEN, VW",GOLF,M1,M1,1,1264.0,1374.0,,124.0,2619.0,1503.0,1533.0,PETROL,M,999.0,81.0,,,,,,,P,2021,2021-03-18,5.4,
52169658,DE,IP-C519_2019_00021-WF0-1,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E13*2007/46*1911*11,DEH,B7DC1NX,5APCJ6AXSAP,FORD,FOCUS,M1,M1,1,1344.0,1471.0,,120.0,2700.0,1556.0,1561.0,PETROL,H,999.0,92.0,,E13  32,,1.3,,,P,2021,2021-07-21,5.3,
54548650,FR,IP-YHZ____ATN82142-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E2*2007/46*0405*31,L,C,YHZK-R22C00,PEUGEOT,308,M1,M1,1,1395.0,1503.0,,123.0,2730.0,1565.0,1560.0,DIESEL,M,1499.0,96.0,,e2 29,,1.2,,,P,2021,2021-03-11,4.7,
51867866,DE,IP-0000680-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*2020*05,G6X,TC61,IAE509BD,BMW,X6 XDRIVE 40D,M1G,M1G,1,2290.0,2563.0,,189.0,2975.0,1678.0,1698.0,DIESEL,H,2993.0,250.0,,E5 32,,1.2,,,P,2021,2021-07-16,7.2,
37068443,BG,IP-T32A1DZP6DA7_00-JN1-1,RENAULT-NISSAN-MITSUBISHI,NISSAN,NISSAN INTERNATIONAL SA,,E13*2007/46*1456*19,T32,H,H16,NISSAN,NISSAN X-TRAIL,M1,M1,1,1595.0,1756.0,,146.0,2705.0,1575.0,1575.0,PETROL,M,1332.0,116.0,,e2 e2 28,,1.0,,,P,2021,2021-08-18,,
56480412,BE,IP-0500779-NLH-1,HYUNDAI,HYUNDAI ASSAN,HYUNDAI ASSAN OTOMOTIV SANAYI VE TICARET AS,,E5*2007/46*0121*01,BC3,C5P51,D71DY2,HYUNDAI,Hyundai Bayon,M1,M1,1,1195.0,1313.0,,123.0,2580.0,1545.0,1551.0,PETROL,M,998.0,,,e5 29,,,,,P,2021,2021-06-11,,
51127184,DE,IP-MQB37AZ_A0_0824-WVW-1,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E1*2001/116*0211*58,1T,DPCAAF,FD7FD7CW0024BIS71VR21CAI0,"VOLKSWAGEN, VW",TOURAN,M1,M1,1,1555.0,1694.0,,152.0,2786.0,1534.0,1561.0,PETROL,M,1498.0,110.0,,E1 29,,1.1,,,P,2021,2021-07-16,6.7,
556292,ES,,MAZDA-SUBARU-SUZUKI-TOYOTA,MAGYAR SUZUKI,MAGYAR SUZUKI CORPORATION LTD,,E4*2007/46*0928*06,LY,DD1S,MT,SUZUKI,VITARA,M1,M1,1,1240.0,,104.0,129.0,2500.0,1535.0,1505.0,PETROL,M,1373.0,10.0,,,,,,,P,2021,2021-09-07,5.7,
55840523,NO,,HYUNDAI,HYUNDAI,HYUNDAI MOTOR COMPANY,,E9*2018/858*11054*01,NE,F5E14,E11B11,HYUNDAI,IONIQ5,M1,M1,1,2095.0,,0.0,0.0,3000.0,1628.0,1637.0,ELECTRIC,E,,154.0,,,,,,,P,2021,2021-07-30,,430.0
47173923,IT,IP-03_356_0235-ZFA-1,STELLANTIS,FIAT GROUP,FCA ITALY SPA,,E3*2007/46*0373*27,356,HXN1A,NBAA3CE,FIAT,FIAT TIPO,M1,M1,1,1335.0,1464.0,,131.0,2638.0,,,PETROL,M,999.0,73.0,,E3  28 29,,1.7,,,P,2021,2021-05-17,5.2,
61230663,CZ,IP-EHTML67221-YAR-0,MAZDA-SUBARU-SUZUKI-TOYOTA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E2*2007/46*0537*17,V,E,EHTM-N2N20L(1T),TOYOTA,PROACE,M1,M1,1,1793.0,2131.0,,185.0,3275.0,1630.0,1618.0,DIESEL,M,1997.0,106.0,,e2 33,,1.1,,,P,2021,2021-08-09,7.0,
46550481,IT,IP-HNE____MB6D542D-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*14,U,S,HNEK-41B500,OPEL,MOKKA,M1,M1,1,1270.0,1365.0,,127.0,2557.0,,,PETROL,M,1199.0,74.0,,,,2.1,,,P,2021,2021-08-11,,
57449563,NL,IP-0000533-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*2018*03,F1H,7K51,IAW500LT,BMW,120I,M1,M1,1,1465.0,1584.0,,140.0,2670.0,1560.0,1560.0,PETROL,M,1998.0,131.0,,e24  28 29,,2.1,,,P,2021,,,
53336192,PL,IP-13_2020_511-JMZ-1#,MAZDA-SUBARU-SUZUKI-TOYOTA,MAZDA,MAZDA MOTOR CORPORATION,,E13*2007/46*2041*08,DM,6WG,ACW0AA,MAZDA,CX-30,M1,M1,1,1447.0,1573.0,,143.0,2655.0,1565.0,1565.0,PETROL,H,1998.0,110.0,,,,,,,P,2021,2021-05-05,5.5,
50222432,DE,IP-A03A5MT_2_15_01-MMC-1,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS THAILAND,MITSUBISHI MOTORS THAILAND CO LTD,,E1*2007/46*0951*15,A00,A0411,ACBBA5C5CAAA,MITSUBISHI,MITSUBISHI SPACE STAR,M1,M1,1,950.0,1062.0,,116.0,2450.0,1415.0,1430.0,PETROL,M,1193.0,52.0,,E1 29,,0.8,,,P,2021,2021-04-23,5.1,
475377,ES,,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E13*2007/46*1985*10,C1,DLACACX05,FM5FM5DF0094BI1AA0I,VOLKSWAGEN,T-CROSS,M1,M1,1,1267.0,,110.0,132.0,2551.0,1534.0,1516.0,PETROL,M,999.0,70.0,,E13 29,,,,,P,2021,2021-06-16,5.8,
428607,ES,IP-0000543-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*1676*13,F1X,31AA,IAW500LT,BMW,X1,M1,M1,1,1510.0,,,146.0,2670.0,1589.0,1591.0,PETROL,M,1499.0,100.0,,E24 28 29,,2.1,,,P,2021,2021-11-26,,
54896206,FR,IP-YHS____MB6_5126-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*13,U,D,YHSK-R2B500,PEUGEOT,2008,M1,M1,1,1280.0,1363.0,,115.0,2605.0,1550.0,1550.0,DIESEL,M,1499.0,81.0,,e2 28 29,,1.9,,,P,2021,2021-06-09,4.4,
54556078,FR,IP-HNP____MB6F2427-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E2*2007/46*0405*31,L,R,HNPJ-R12A00,PEUGEOT,308,M1,M1,1,1280.0,1442.0,,125.0,2730.0,1565.0,1560.0,PETROL,M,1199.0,81.0,,e2 29,,1.3,,,P,2021,2021-02-08,5.5,
49953022,DE,IP-2019_4002-WME-1,MERCEDES-BENZ,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2001/116*0413*46,451,53E5Y0,ZZBAA21B,SMART,EQ FORTWO COUPE,M1,M1,1,1095.0,1209.0,0.0,0.0,1873.0,1435.0,1471.0,ELECTRIC,E,,41.0,164.0,,,,,,P,2021,2021-06-15,,159.0
53507043,PL,IP-0079-JT1-1,MAZDA-SUBARU-SUZUKI-TOYOTA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E6*2007/46*0318*04,ZE1HE(EU M),NRE210(W),NRE210L-DWFNZW(9E),TOYOTA,COROLLA,M1,M1,1,1484.0,1531.0,,135.0,2700.0,1530.0,1530.0,PETROL,M,1197.0,85.0,,,,,,,P,2021,2021-01-08,5.9,
45512601,FI,IP-HNS____ATN85440-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*14,U,S,HNSS-41B500,OPEL,MOKKA,M1,M1,1,1295.0,1391.0,,135.0,2557.0,1550.0,1550.0,PETROL,M,1199.0,96.0,,e2 28 29,,2.1,,,P,2021,2021-10-05,,
56084469,GR,IP-MQB37SZ_A3_0550-WVW-1,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E13*2007/46*1845*17,A1,DLAAX0AC4,FM6FM6AJ0254BI1AANN0I,"VOLKSWAGEN,VW",T-ROC,M1,M1,1,1294.0,,,138.0,2590.0,1536.0,1530.0,PETROL,M,999.0,81.0,,e13 29,,1.1,,,P,2021,2021-09-02,,
55401230,FR,IP-MQB37AZ_A0_0322-WVW-1,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E1*2001/116*0211*56,1T,DFGAAC,FD7FD7GC0044BFS50VR21BA0,VOLKSWAGEN,TOURAN,M1,M1,1,1620.0,1757.0,,145.0,2786.0,1561.0,1534.0,DIESEL,M,1968.0,110.0,,,,,,,P,2021,2021-01-16,,
51970905,DE,IP-AP982002G40AT00-WP0-1,VW-SAIC,PORSCHE,DR ING HCF PORSCHE AG,,E13*2007/46*1607*12,982,KG12,42,PORSCHE,718 BOXSTER SPYDER,M1,M1,1,1525.0,1572.0,,242.0,2484.0,1534.0,1538.0,PETROL,M,3995.0,309.0,,E1 29,,0.9,,,P,2021,2021-03-22,10.7,
51198334,DE,IP-MQB37SZ_B3_0567-WVW-1,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E13*2007/46*1845*18,A1,DPCAX0AE2,FD7FD7CW0024BI1ABNNIM,"VOLKSWAGEN, VW",T-ROC,M1,M1,1,1540.0,1636.0,,154.0,2630.0,1538.0,1539.0,PETROL,M,1498.0,110.0,,E13 28 29,,1.9,,,P,2021,2021-03-25,6.8,
46501627,IT,IP-ZKX____REDU5761-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*11,U,H,ZKXZ-J0A000,PEUGEOT,208,M1,M1,1,1530.0,,0.0,0.0,2540.0,,,ELECTRIC,E,,57.0,,,,,,,P,2021,2021-01-20,,339.0
45149841,SE,IP-MEB31AZ_A0_0962-WVW-1,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E1*2018/858*00004*02,E2,ACEBJAL1FX2,D0M1ASA,"VOLKSWAGEN, VW",ID.4 PRO 150 KW,M1,M1,1,2124.0,2313.0,0.0,0.0,2771.0,1587.0,1562.0,ELECTRIC,E,,150.0,186.0,,,,,,P,2021,,,486.0
305173,ES,,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E13*2007/46*1985*09,C1,DLAAACX05,FD7FD7CW0094BI1BAAG,VOLKSWAGEN,T-CROSS,M1,M1,1,1298.0,,,149.0,2551.0,1534.0,1516.0,PETROL,M,999.0,81.0,,,,,,,P,2021,2021-03-29,6.5,
